Código,Cotação,P/L,P/VP,RSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBITDA,EV/EBIT,Mrg.Liq,Lig.Corr,ROIC,ROE,Liquidez 2 meses,Patrimonio Líquido,Dív. Bruta/Patrimonio,Cresc. Rec. 5a
IDVL11;"140,00";"-66,00";"60,56";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"-91,76%";"0,00";"237.683.000,00";"0,00";"0,00%"
NGRD3;"31,81";"-54,02";"0,66";"1,074";"0,00%";"0,515";"2,04";"-16,90";"3,54";"-10,22";"12,06";"-6,35%";"-1,99%";"3,30";"-4,23%";"-1,22%";"572.526,00";"442.302.000,00";"0,04";"2,29%"
PEFX3;"19,00";"-52,04";"1,68";"0,477";"0,00%";"0,597";"20,34";"5,75";"-3,18";"6,59";"0,00";"8,30%";"-0,92%";"1,07";"11,77%";"-3,24%";"0,00";"396.955.000,00";"0,31";"4,36%"
PEFX5;"19,00";"-52,04";"1,68";"0,477";"0,00%";"0,597";"20,34";"5,75";"-3,18";"6,59";"0,00";"8,30%";"-0,92%";"1,07";"11,77%";"-3,24%";"0,00";"396.955.000,00";"0,31";"4,36%"
MTIG4;"23,00";"-49,52";"-359,15";"56,001";"0,00%";"36,906";"-50,93";"-94,31";"-44,00";"-95,57";"-104,60";"-59,38%";"-113,09%";"0,27";"-47,80%";"725,28%";"0,00";"-7.835.380,00";"-4,95";"-26,54%"
SCLO3;"14,10";"-48,69";"-0,10";"0,000";"0,00%";"0,240";"-0,09";"-29,24";"-0,09";"-87,63";"-87,63";"0,00%";"0,00%";"0,18";"-0,83%";"0,21%";"0,00";"-131.423.000,00";"-0,21";"0,00%"
TOYB4;"2,50";"-47,96";"-5,43";"5,256";"0,00%";"4,405";"-6,47";"-9,04";"-3,83";"-9,15";"-9,67";"-58,16%";"-10,96%";"0,49";"-59,36%";"11,31%";"0,00";"-13.852.000,00";"-0,07";"-26,99%"
IMBI3;"5,01";"-46,42";"2,81";"2.659,020";"0,00%";"0,518";"-2,21";"-97,12";"-0,37";"-104,72";"-107,45";"-2.737,88%";"-13.821,20%";"0,05";"-0,54%";"-6,05%";"0,00";"62.544.000,00";"0,22";"-57,16%"
CLAN4;"3,00";"-44,92";"0,47";"15,151";"0,00%";"0,406";"-15,50";"-82,56";"-6,36";"-97,43";"22,68";"-18,35%";"-33,73%";"0,73";"-0,50%";"-1,05%";"0,00";"1.012.240.000,00";"0,08";"-63,96%"
TOYB3;"2,29";"-43,94";"-4,97";"4,815";"0,00%";"4,035";"-5,93";"-8,28";"-3,50";"-8,39";"-8,87";"-58,16%";"-10,96%";"0,49";"-59,36%";"11,31%";"0,00";"-13.852.000,00";"-0,07";"-26,99%"
EBTP3;"10,21";"-43,56";"1,17";"0,548";"0,00%";"0,353";"-502,47";"6,42";"-0,73";"8,46";"2,85";"8,53%";"-1,03%";"0,99";"6,03%";"-2,68%";"0,00";"10.782.200.000,00";"0,39";"22,10%"
PCAR4;"72,11";"-42,95";"16,81";"1,852";"0,00%";"1,921";"-28,91";"22,34";"-3,39";"23,66";"13,71";"8,29%";"-4,26%";"0,83";"12,17%";"-39,13%";"0,00";"2.106.000.000,00";"1,95";"-17,25%"
EBTP4;"10,00";"-42,66";"1,14";"0,537";"0,00%";"0,346";"-492,13";"6,29";"-0,71";"8,33";"2,81";"8,53%";"-1,03%";"0,99";"6,03%";"-2,68%";"0,00";"10.782.200.000,00";"0,39";"22,10%"
PCAR5;"67,12";"-39,98";"15,64";"1,724";"0,00%";"1,788";"-26,91";"20,80";"-3,15";"22,12";"12,81";"8,29%";"-4,26%";"0,83";"12,17%";"-39,13%";"0,00";"2.106.000.000,00";"1,95";"-17,25%"
FBRA4;"34,58";"-39,57";"1,66";"0,457";"0,00%";"0,738";"18,94";"7,40";"-4,43";"10,62";"10,62";"6,18%";"-1,15%";"1,11";"11,94%";"-4,20%";"0,00";"213.406.000,00";"0,77";"12,48%"
BRTP4;"20,81";"-39,19";"1,43";"0,681";"0,00%";"0,399";"5,23";"3,51";"-1,40";"5,03";"5,03";"19,37%";"-2,96%";"1,29";"13,41%";"-3,64%";"0,00";"5.302.340.000,00";"0,91";"3,66%"
HAPV3;"10,68";"-37,87";"0,11";"0,170";"0,00%";"0,074";"1,08";"4,35";"-0,40";"8,40";"4,93";"3,91%";"-0,45%";"1,90";"1,93%";"-0,29%";"123.448.000,00";"48.248.600.000,00";"0,27";"28,66%"
HBSA3;"3,92";"-37,84";"2,47";"2,380";"0,00%";"0,822";"4,84";"8,78";"-2,00";"13,09";"8,12";"27,10%";"-6,29%";"2,97";"11,60%";"-6,52%";"7.067.840,00";"2.162.050.000,00";"1,72";"11,94%"
ITEC3;"40,10";"-35,12";"22,04";"2.611,690";"0,00%";"9,216";"25,42";"-26,00";"-68,91";"-24,80";"-29,56";"-10.044,70%";"-7.435,88%";"5,23";"-63,06%";"-62,76%";"0,00";"20.143.000,00";"0,00";"-74,79%"
MAPT4;"3,87";"-34,53";"-0,55";"0,000";"0,00%";"4,601";"-711,31";"-42,34";"-0,49";"-42,34";"-42,34";"0,00%";"0,00%";"0,00";"-10,87%";"1,58%";"0,00";"-6.507.000,00";"0,00";"0,00%"
BAHI4;"86,00";"-34,06";"120,00";"6,884";"0,00%";"5,873";"-13,90";"268,49";"-7,90";"272,44";"111,88";"2,56%";"-18,50%";"0,21";"2,28%";"-352,31%";"0,00";"19.087.000,00";"2,40";"4,45%"
IMBI4;"3,50";"-32,43";"1,96";"1.857,600";"0,00%";"0,362";"-1,54";"-67,85";"-0,26";"-75,44";"-77,41";"-2.737,88%";"-13.821,20%";"0,05";"-0,54%";"-6,05%";"0,00";"62.544.000,00";"0,22";"-57,16%"
PRTX3;"2,77";"-32,27";"-145,32";"297,651";"0,00%";"1,400";"-2,57";"-97,11";"-1,43";"-128,99";"37,19";"-306,50%";"-922,47%";"0,05";"-1,50%";"450,37%";"0,00";"-18.917.000,00";"-49,85";"307,96%"
DFVA3;"9,90";"-31,38";"60,69";"4,327";"0,00%";"5,365";"29,10";"-55,91";"-31,47";"-58,28";"-58,28";"-7,74%";"-13,79%";"1,33";"-10,35%";"-193,42%";"0,00";"1.170.000,00";"2,84";"3,39%"
ASTA4;"25,83";"-30,79";"1,00";"0,652";"0,00%";"0,446";"2,57";"19,90";"-3,30";"33,20";"33,20";"3,28%";"-2,12%";"1,71";"2,52%";"-3,25%";"0,00";"515.672.000,00";"0,85";"-4,73%"
VGOR4;"5,87";"-29,58";"7,18";"1,229";"0,00%";"1,468";"113,97";"27,32";"-3,22";"34,09";"34,09";"4,50%";"-4,59%";"1,04";"6,00%";"-24,29%";"0,00";"135.178.000,00";"1,89";"4,77%"
CRBM3;"90,00";"-28,95";"3,26";"1,498";"0,00%";"1,172";"2,98";"-15,45";"16,90";"-14,17";"-14,17";"-9,70%";"-5,18%";"2,24";"-12,71%";"-11,28%";"0,00";"827.347.000,00";"0,45";"-1,58%"
MAPT3;"3,00";"-26,77";"-0,42";"0,000";"0,00%";"3,567";"-551,40";"-32,82";"-0,38";"-32,82";"-32,82";"0,00%";"0,00%";"0,00";"-10,87%";"1,58%";"7,89";"-6.507.000,00";"0,00";"0,00%"
BAHI5;"65,00";"-25,74";"90,70";"5,203";"0,00%";"4,439";"-10,51";"202,93";"-5,97";"206,88";"84,96";"2,56%";"-18,50%";"0,21";"2,28%";"-352,31%";"0,00";"19.087.000,00";"2,40";"4,45%"
DFVA4;"8,00";"-25,35";"49,04";"3,497";"0,00%";"4,335";"23,51";"-45,18";"-25,43";"-47,55";"-47,55";"-7,74%";"-13,79%";"1,33";"-10,35%";"-193,42%";"0,00";"1.170.000,00";"2,84";"3,39%"
CVCB3;"1,97";"-25,29";"2,16";"0,696";"0,00%";"0,277";"-1,64";"5,71";"-0,96";"6,22";"2,75";"12,18%";"-2,75%";"0,78";"6,72%";"-8,55%";"39.352.500,00";"478.791.000,00";"0,83";"14,22%"
CLSA3;"10,51";"-24,46";"3,06";"4,148";"0,00%";"2,300";"7,91";"-13,18";"8,04";"-10,92";"-16,07";"-31,48%";"-16,96%";"2,19";"-30,79%";"-12,52%";"0,00";"644.827.000,00";"0,00";"-0,03%"
MODL3;"3,08";"-22,99";"1,88";"0,000";"0,71%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"-8,17%";"0,00";"1.154.890.000,00";"0,00";"-62,37%"
TAMM4;"52,73";"-22,74";"3,80";"0,626";"0,00%";"0,524";"-31,11";"9,77";"-0,96";"18,01";"9,66";"6,41%";"-2,21%";"0,95";"6,36%";"-16,70%";"0,00";"2.174.310.000,00";"4,08";"9,79%"
TAMM3;"52,60";"-22,68";"3,79";"0,625";"0,00%";"0,523";"-31,04";"9,74";"-0,96";"17,98";"9,65";"6,41%";"-2,21%";"0,95";"6,36%";"-16,70%";"0,00";"2.174.310.000,00";"4,08";"9,79%"
MODL11;"8,46";"-21,05";"1,72";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"-8,17%";"0,00";"1.154.890.000,00";"0,00";"-62,37%"
MODL4;"2,72";"-20,30";"1,66";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"-8,17%";"0,00";"1.154.890.000,00";"0,00";"-62,37%"
AURE3;"12,53";"-19,82";"1,05";"0,999";"0,46%";"0,270";"6,39";"8,76";"-0,50";"22,28";"10,96";"11,40%";"-4,23%";"1,32";"3,50%";"-5,31%";"45.225.300,00";"12.508.800.000,00";"1,97";"43,43%"
CRBM7;"60,00";"-19,30";"2,18";"0,999";"0,00%";"0,782";"1,99";"-10,30";"11,26";"-9,02";"-9,02";"-9,70%";"-5,18%";"2,24";"-12,71%";"-11,28%";"0,00";"827.347.000,00";"0,45";"-1,58%"
WMBY3;"25,39";"-19,30";"2,87";"0,836";"0,00%";"0,182";"1,20";"8,62";"-1,50";"25,02";"25,02";"9,70%";"-7,05%";"1,44";"2,39%";"-14,86%";"0,00";"212.439.000,00";"6,51";"-14,48%"
TDBH4;"0,66";"-18,63";"1,28";"0,906";"0,00%";"0,811";"-6,15";"8,73";"-5,66";"10,23";"10,23";"10,38%";"-4,86%";"0,63";"10,48%";"-6,85%";"0,00";"554.115.000,00";"0,27";"35,74%"
TANC4;"43,00";"-18,54";"3,10";"0,511";"0,00%";"0,428";"-25,37";"7,96";"-0,78";"16,20";"8,69";"6,41%";"-2,21%";"0,95";"6,36%";"-16,70%";"0,00";"2.174.310.000,00";"4,08";"9,79%"
EPAR4;"3,30";"-17,12";"1,24";"20,511";"0,00%";"0,892";"9,98";"-9,81";"-6,16";"-9,02";"-11,30";"-209,16%";"-119,82%";"2,83";"-9,81%";"-7,27%";"0,00";"39.424.000,00";"0,00";"-79,30%"
CCIM3;"5,52";"-16,44";"0,94";"0,498";"0,00%";"0,198";"0,53";"8,96";"-1,09";"25,04";"38,84";"5,55%";"-3,03%";"2,58";"2,38%";"-5,75%";"0,00";"660.347.000,00";"1,93";"29,98%"
AESB3;"8,11";"-15,97";"1,82";"1,869";"0,00%";"0,382";"-96,21";"7,57";"-0,65";"17,58";"10,28";"24,69%";"-9,01%";"0,97";"5,77%";"-11,37%";"0,00";"4.216.980.000,00";"2,88";"19,59%"
AZTE3;"0,46";"-15,83";"0,63";"54,293";"0,00%";"0,581";"-45,40";"-20,50";"-10,37";"-20,63";"-41,98";"-264,88%";"-342,99%";"0,61";"-2,89%";"-3,97%";"1.606.260,00";"248.016.000,00";"0,01";"30,71%"
TDBH3;"0,56";"-15,81";"1,08";"0,769";"0,00%";"0,688";"-5,22";"7,40";"-4,80";"8,91";"8,91";"10,38%";"-4,86%";"0,63";"10,48%";"-6,85%";"0,00";"554.115.000,00";"0,27";"35,74%"
EPAR3;"2,92";"-15,15";"1,10";"18,149";"29,96%";"0,789";"8,83";"-8,68";"-5,45";"-7,89";"-9,89";"-209,16%";"-119,82%";"2,83";"-9,81%";"-7,27%";"35.231,20";"39.424.000,00";"0,00";"-79,30%"
GBIO33;"10,40";"-14,97";"1,32";"1,518";"0,00%";"0,791";"7,57";"13,53";"17,58";"16,06";"16,06";"11,21%";"-10,14%";"1,31";"7,12%";"-8,83%";"0,00";"838.439.000,00";"0,31";"-8,99%"
ATED3;"2,47";"-13,61";"3,24";"2,222";"0,00%";"2,578";"6,86";"36,86";"7,67";"35,75";"19,96";"6,03%";"-14,88%";"6,02";"8,27%";"-23,81%";"88.316,70";"18.149.000,00";"0,07";"-22,99%"
LECO4;"1,46";"-13,48";"2,00";"0,637";"0,00%";"0,924";"-16,84";"-29,69";"-3,16";"-32,69";"-32,69";"-2,14%";"-4,72%";"0,82";"-3,48%";"-14,82%";"0,00";"105.928.000,00";"0,20";"3,58%"
SEDU3;"23,80";"-13,36";"15,00";"3,443";"0,00%";"1,531";"57,90";"-22,47";"-2,67";"-28,68";"-69,64";"-15,33%";"-25,73%";"1,09";"-8,15%";"-112,29%";"0,00";"415.869.000,00";"4,67";"10,87%"
TESA3;"48,00";"-13,30";"1,62";"1,007";"0,00%";"0,523";"-11,10";"9,41";"-1,35";"15,25";"10,09";"10,71%";"-7,58%";"0,86";"6,42%";"-12,18%";"0,00";"858.223.000,00";"1,04";"15,48%"
ENJU3;"1,07";"-13,07";"0,72";"0,831";"0,00%";"0,482";"1,11";"-7,45";"1,20";"0,30";"-0,86";"-11,16%";"-6,36%";"2,47";"-15,04%";"-5,52%";"674.013,00";"304.368.000,00";"0,00";"28,00%"
